-- MONTHLY REPORT --  Year: 2017 Month: 08
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|  Date\Src|   Dnevnik|     Focus|      News|   OffNews|       PIK|     Blitz|   24chasa|      Trud|      Duma| Mediapool|     ClubZ|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|2017-08-01|         0|       347|        68|        75|       228|         0|         0|        72|         0|        41|        24|
|2017-08-02|         0|       368|        92|        70|       226|        85|         0|         1|        16|         8|         8|
|2017-08-03|        90|       340|        86|        74|       214|        73|         0|        72|         0|        35|        25|
|2017-08-04|        80|       244|        87|        72|       221|        73|       124|        45|        26|        40|        30|
|2017-08-05|        53|       244|        39|        58|       171|        34|        17|         1|         0|         2|         1|
|2017-08-06|        48|       256|        52|        44|       185|        20|         5|         0|         0|         0|         1|
|2017-08-07|        84|       315|        91|        70|       242|        55|       112|        35|        14|        37|        24|
|2017-08-08|        79|       326|        77|        80|       223|        55|        94|        71|        13|        29|        24|
|2017-08-09|        90|       318|        79|        74|       221|        55|       112|        27|         0|        43|        24|
|2017-08-10|        80|       328|        76|        82|       239|        44|        74|        19|        17|        20|        16|
|2017-08-11|        81|       362|        62|        68|       226|        56|       103|        17|        16|        36|        24|
|2017-08-12|        60|       244|        48|        62|       158|        43|        50|        18|         0|        10|        10|
|2017-08-13|        54|       242|        32|        35|       180|        44|        67|        18|         0|        19|        11|
|2017-08-14|        95|       318|        62|        87|       224|        26|        75|        18|        11|        28|        20|
|2017-08-15|        84|       332|        68|        71|       218|        53|        73|        18|        11|        27|        14|
|2017-08-16|        94|       347|        74|        72|       229|        22|        89|        29|        15|        33|        34|
|2017-08-17|        92|       351|        60|        80|       215|        96|       115|        96|        14|        46|        29|
|2017-08-18|        83|       358|        65|        78|       206|        30|         3|        72|         0|        43|        24|
|2017-08-19|        54|       221|        44|        70|       155|        31|        78|        26|         0|        18|        18|
|2017-08-20|         0|         0|         0|         0|         0|        23|        60|        21|         0|         6|        15|
|2017-08-21|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-08-22|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-08-23|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-08-24|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-08-25|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-08-26|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-08-27|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-08-28|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-08-29|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-08-30|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-08-31|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
