-- MONTHLY REPORT --  Year: 2017 Month: 12 ( Reported at: 2017-12-15 13:04 )
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|  Date\Src|   Dnevnik|     Focus|   Monitor|      News|   OffNews|       PIK|  Novinite| Epicenter|    Faktor|      Dnes|     Blitz|    Classa|   24chasa|      Trud|      Duma| Mediapool|     ClubZ|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|2017-12-01|        95|       412|        70|       103|        65|       199|        44|         0|         0|         0|        31|        44|       112|        20|        64|        54|        24|
|2017-12-02|        62|       253|        20|        52|        38|       158|        28|        39|         0|         0|        26|        39|        80|        28|         0|        26|        21|
|2017-12-03|        50|       237|        52|        45|        29|       158|        19|        50|         0|         0|        30|        38|        90|        23|         0|        14|        24|
|2017-12-04|        99|       360|        83|       102|        56|       224|        41|        63|       120|         0|        32|        40|       112|        32|        48|        41|        24|
|2017-12-05|       114|         9|        72|        99|        62|       198|        55|        86|        80|         0|        30|        32|       111|        28|        50|        50|        24|
|2017-12-06|       104|       445|        66|       124|        63|       209|        63|        62|        41|         0|        32|        33|       112|        27|        64|        55|        24|
|2017-12-07|       106|       392|        81|       118|        62|       233|        42|        94|        49|         0|        28|        42|       112|        24|        66|        47|        24|
|2017-12-08|       104|       387|        60|       110|        62|       200|        32|        75|        38|         0|        29|        32|       111|        23|        61|        42|        24|
|2017-12-09|        53|       214|        20|        41|        41|       145|         6|        56|        25|         0|        30|        35|        82|        26|         0|        18|        22|
|2017-12-10|        59|       240|        44|        44|        33|       161|        10|        39|        25|         0|        31|        32|        88|        28|         0|        21|        24|
|2017-12-11|        95|       330|        74|       100|        62|       244|        42|        60|        35|         0|        31|        34|       112|        69|        45|        50|        24|
|2017-12-12|       100|       359|        81|       113|        62|       213|         0|        82|        35|         0|        29|        33|       111|        37|         0|        36|        24|
|2017-12-13|       125|       445|        78|       116|        62|       242|        42|        73|        39|         0|        26|        32|       112|        67|        52|        40|        24|
|2017-12-14|        95|       331|        66|       108|        57|       213|        70|        83|        25|        95|        27|        40|       112|        30|        62|        40|        24|
|2017-12-15|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-12-16|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-12-17|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-12-18|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-12-19|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-12-20|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-12-21|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-12-22|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-12-23|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-12-24|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-12-25|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-12-26|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-12-27|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-12-28|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-12-29|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-12-30|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-12-31|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|  Total   |      1261|      4414|       867|      1275|       754|      2797|       494|       862|       512|        95|       412|       506|      1457|       462|       512|       534|       331|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
 TOTAL articles : 17545
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
