-- MONTHLY REPORT --  Year: 2018 Month: 1 ( Reported at: 2018-01-21 19:53 )
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|  Date\Src|   24chasa|  Actualno|   BgOnAir|     Blitz|     Bnews|    Classa|     ClubZ|     Cross|      Dnes|   Dnevnik|      Duma| Epicenter|    Faktor|     Focus| Mediapool|   Monitor|      News|  Novinite|   OffNews|       PIK|      Trud|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|2018-01-01|        81|         0|         0|         0|         0|        20|        20|         0|        54|        49|         0|        47|        20|       270|        19|        49|        50|         0|        39|       130|        30|
|2018-01-02|       112|         0|         0|         0|         0|        32|        33|         0|       102|        79|         0|        60|        35|       341|        51|        73|        88|         0|        51|       190|        70|
|2018-01-03|       112|       107|         0|         0|         0|        32|        47|        76|        86|        88|        60|        71|        49|       337|        48|        69|       115|        63|        68|       187|        66|
|2018-01-04|       110|       119|         0|         0|         0|        30|        52|         0|       107|        95|        62|        82|        47|       377|        52|        71|       106|        37|        50|       211|        71|
|2018-01-05|       112|       100|         0|        54|        61|        28|        37|        78|       100|        91|        63|        75|        48|       354|        55|        69|       100|        35|        54|       233|        71|
|2018-01-06|        83|        66|         0|        29|        36|        31|        15|        62|        56|        59|         0|        42|        16|       283|        22|        27|        38|        19|        33|       154|        71|
|2018-01-07|        86|        38|         0|        30|        42|        35|        26|        47|        57|        55|         0|        49|        17|       222|        18|        46|        43|        17|        26|       157|        31|
|2018-01-08|       112|       101|        34|        32|        65|        32|        37|        80|        99|        97|        44|        64|        48|       356|        50|        59|        95|        44|        59|       222|        71|
|2018-01-09|       111|       123|        30|        32|        63|        35|        35|        85|       104|        99|        43|        80|        55|       364|        61|        65|       109|        26|        65|       204|        70|
