-- MONTHLY REPORT --  Year: 2019 Month: 10 ( Reported at: 2020-01-13 20:32 )
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|  Date\Src|   24chasa|  Actualno|   BgOnAir|     Blitz|     Bnews|    Classa|     ClubZ|     Cross|      Dnes|   Dnevnik|      Duma| Epicenter|    Faktor|     Focus| Mediapool|   Monitor|      News|  Novinite|   OffNews|       PIK|StandartNews|      Trud|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|2019-10-01|       111|       121|         0|       186|        10|        31|        47|        85|        90|        73|        44|        98|        10|       353|        44|       114|       122|        46|        65|       318|        31|        71|
|2019-10-02|       224|       128|         0|       209|        16|        30|        43|        84|       204|        95|        47|       141|        25|       362|        40|        93|       120|        44|        76|       234|        36|        71|
|2019-10-03|        29|       119|         0|       206|        13|        31|        42|        79|       105|        81|        55|       131|        32|       349|        37|        95|       111|        43|        66|       250|        34|        72|
|2019-10-04|       112|       111|         0|       185|        12|        30|        45|        71|       101|        74|        70|       116|        28|       410|        33|        83|       102|        48|        60|       222|        29|        39|
|2019-10-05|        74|        52|         0|       151|        10|        30|        22|        42|        57|        40|         0|        65|        10|       220|        21|        30|        54|        17|        52|       133|        56|        26|
|2019-10-06|        94|        55|         0|       166|        13|        32|        29|        36|        68|        38|         0|        56|        13|       178|        15|        60|        42|        30|        38|       123|        31|        27|
|2019-10-07|       112|       113|         0|       219|        18|        30|        41|        91|        96|        71|        51|       108|        24|       339|        28|       108|       108|        49|        69|       253|        16|        71|
|2019-10-08|       112|       123|         0|       230|        14|        29|        51|        81|       112|        98|        52|       105|        26|       327|        45|        95|       104|        49|        63|       257|        37|        70|
|2019-10-09|       112|       134|         0|       194|        14|        32|        54|       102|        97|        90|        53|       127|        26|       399|        37|        95|       116|        26|        82|       243|        33|        27|
|2019-10-10|       112|       118|         0|       201|        19|        53|        44|       110|        89|        86|        52|       135|        22|       394|        54|       106|       130|        20|        76|       244|        28|        26|
|2019-10-11|       112|       127|         0|       195|        15|        30|        49|        82|        93|        83|        76|       115|        25|       373|        53|        91|        96|        45|        65|       232|        41|        27|
|2019-10-12|        92|        54|         0|       164|         3|        23|        21|        71|        52|        47|         0|        67|        14|       217|         8|        46|        41|        24|        60|       125|        36|        69|
|2019-10-13|         0|        63|         0|         0|         6|         0|         0|        72|         0|        40|         0|         0|         0|       195|         0|        65|        48|        29|        45|       126|        44|         0|
|2019-10-14|       111|       102|         0|       224|         7|        30|        44|       101|       113|        69|         0|       100|        23|       373|        37|       110|       112|        48|        74|       220|        13|        70|
|2019-10-15|       112|       129|         0|       215|        12|        48|        47|        94|       111|        89|        52|       131|        27|       371|        42|        90|       114|        46|        86|       257|        19|        71|
|2019-10-16|       112|       119|         0|       215|        12|        60|        50|        93|       108|        75|        49|       131|        22|       377|        48|        95|       125|        45|        83|       238|        23|        69|
|2019-10-17|       111|       118|         0|       215|        18|        31|        43|        86|       116|        88|        48|       112|        26|       367|        48|        81|       111|        47|        75|       245|        40|        71|
|2019-10-18|       111|       110|         0|       208|        21|        30|        46|        84|       103|        82|        67|       113|        25|       382|        41|       104|       106|        36|        74|       222|        20|        29|
|2019-10-19|        66|        53|         0|       165|        10|        45|        28|        74|        54|        48|         0|        63|         4|       217|        15|        42|        50|        25|        49|       126|        43|        70|
|2019-10-20|        92|        48|         0|       166|         9|        39|        26|        62|        64|        44|         0|        59|         8|       170|        14|        58|        56|        20|        45|       125|        24|        71|
|2019-10-21|       112|       120|         0|       211|        20|        33|        34|        79|        97|        62|        49|       124|        26|       363|        45|        97|       112|        49|        78|       234|        20|        27|
|2019-10-22|       111|       114|         0|       200|        17|        41|        45|        83|       125|        93|        42|       132|        18|       353|        50|        99|       129|        42|        77|       243|        22|        72|
|2019-10-23|       112|       134|         0|       212|        15|        36|        50|        82|       101|        87|        47|       121|        14|       375|        50|        99|       121|        46|        93|       244|        38|        65|
|2019-10-24|       112|       136|         0|       208|        17|        51|        40|        69|       112|        98|        46|       120|        16|       443|        59|        93|       111|        39|        71|       222|        21|        24|
|2019-10-25|       267|       123|         0|       236|        19|        50|        51|        98|       184|        77|        73|        90|        30|       358|        39|        87|       112|        34|        78|       219|        25|        57|
|2019-10-26|        74|        51|         0|       147|         8|        30|        22|        69|        53|        35|         0|        37|        16|       190|        13|        31|        49|        24|        37|       117|        42|        27|
|2019-10-27|       111|       111|         0|       247|        15|        84|        53|       119|       114|        71|         0|        78|        27|       784|        27|       121|        99|        63|        84|       171|        40|        27|
|2019-10-28|       110|       106|         0|       209|        16|        34|        42|        81|       100|        84|        51|       104|        51|       481|        47|        98|       120|        44|        89|       223|        20|        27|
|2019-10-29|       112|       122|         0|       199|        25|        40|        43|        73|       102|        90|        49|        78|        44|       309|        46|       115|       110|        47|        73|       286|        31|        71|
|2019-10-30|       112|       126|         0|       207|        23|        30|        34|        74|        98|        90|        45|        98|        42|       357|        49|        88|       125|        41|        68|       235|        25|        70|
|2019-10-31|       224|       121|         0|       210|        17|        30|        37|        84|       208|        97|        48|       109|        46|       405|        64|       101|       119|        42|        63|       280|        27|        77|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|  Total   |      3468|      3261|         0|      6000|       444|      1123|      1223|      2511|      3127|      2295|      1166|      3064|       720|     10791|      1149|      2690|      3075|      1208|      2114|      6667|       945|      1591|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
 TOTAL articles : 58632
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
