-- MONTHLY REPORT --  Year: 2017 Month: 6 ( Reported at: 2017-09-13 15:35 )
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|  Date\Src|   Dnevnik|     Focus|   Monitor|      News|   OffNews|       PIK|     Blitz|    Classa|   24chasa|      Trud|      Duma| Mediapool|     ClubZ|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|2017-06-01|        95|         0|         0|         0|        82|       250|         0|         0|         0|       146|         0|         0|         0|
|2017-06-02|        85|         0|         0|         0|        77|       280|         0|         0|         0|       148|         0|         0|         0|
|2017-06-03|        49|         0|         0|         0|        51|       201|         0|         0|         0|       109|         0|         0|         0|
|2017-06-04|        48|         0|         0|        44|        46|       198|         0|         0|         0|        91|         0|         0|         0|
|2017-06-05|        82|       349|         0|        51|        85|        62|         0|         0|         0|       149|         0|         0|         0|
|2017-06-06|        97|       353|         0|        38|        85|        50|        38|         0|         0|       185|         0|        48|         0|
|2017-06-07|       107|       500|         0|        60|        69|        57|         0|         0|         0|       172|         0|         0|         0|
|2017-06-08|       110|       412|         0|        40|        88|        68|        44|         0|         0|       166|         0|        58|         0|
|2017-06-09|        90|       431|         0|        50|        77|        68|        45|         0|         0|       155|         0|        41|         0|
|2017-06-10|        56|       274|         0|        34|        52|        69|        22|         0|         0|        92|         0|        24|         0|
|2017-06-11|        60|       205|         0|        42|        51|        70|        25|         0|         0|       101|         0|        11|         0|
|2017-06-12|        74|       385|         0|        48|        72|       256|        34|         0|         0|       159|         0|        44|         0|
|2017-06-13|        92|       360|         0|        86|        83|       271|        33|         0|         0|       166|         0|        39|         0|
|2017-06-14|       106|       384|         0|        87|        76|       305|        40|         0|         0|       171|         0|        58|         0|
|2017-06-15|        98|       376|         0|        96|        92|       240|        45|         0|         0|       180|         0|        63|         0|
|2017-06-16|        89|       376|         0|        92|        76|       239|        34|         0|         0|       171|         0|        70|         0|
|2017-06-17|        48|       254|         0|        61|        54|       207|        25|         0|         0|       116|         0|        15|         0|
|2017-06-18|        51|       234|         0|        51|        42|       186|         2|         0|         0|        94|         0|         0|         0|
|2017-06-19|        77|       363|         0|        97|        93|       271|        35|         0|         0|       169|         0|        52|         0|
|2017-06-20|        96|       354|         0|       112|        77|       272|        39|         0|         0|       191|         0|        59|         0|
|2017-06-21|       110|       401|         0|       104|        92|       271|        48|         0|       219|       152|         0|        57|         0|
|2017-06-22|       101|       389|         0|       113|        84|       260|        40|         0|        44|       149|         0|        57|         0|
|2017-06-23|        90|       228|         0|        44|        73|       273|        30|         0|         0|       144|         0|        60|         0|
|2017-06-24|        51|       228|         0|        44|        44|       203|        29|         0|         0|        74|         0|        23|         0|
|2017-06-25|        39|       235|         0|        41|        52|       206|        20|         0|         0|        22|         0|        28|         0|
|2017-06-26|        82|       348|         0|       104|        83|       254|        27|         0|         0|       129|        17|        58|         0|
|2017-06-27|        92|       342|         0|       105|        77|       261|         3|         0|        19|         5|         7|         9|         0|
|2017-06-28|       104|       424|         0|       114|        71|       245|        15|         0|        76|        19|        16|        21|         0|
|2017-06-29|        99|       414|         0|       126|        83|       259|        15|         0|        85|        22|         7|        22|         0|
|2017-06-30|        80|       419|         0|       120|        79|       259|        23|         0|       105|        53|        20|        41|        22|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|  Total   |      2458|      9038|         0|      2004|      2166|      6111|       711|         0|       548|      3700|        67|       958|        22|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
 TOTAL articles : 27783
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
